cordinates,name
"24.837642,36.045503",S Wenna St 1040 1026
"24.841486,36.070512 24.841563,36.07042",N Hallanol Dr
"24.847478,36.048091 24.848369,36.048074",S Ermou St
"24.841563,36.07042 24.841963,36.07072",N Handstil Pl
"24.847472,36.049127 24.847416,36.049127",
"24.844279,36.07631 24.844363,36.07622",N Pilau St 3699 3097
"24.839163,36.07692 24.839091,36.077012",N Tempon Dr
"24.848567,36.05032 24.847064,36.05032",Egeou Ave 5600 5698
"24.845963,36.08712 24.846063,36.08782",N Leeno St 4716 4798
"24.845963,36.08712 24.847737,36.087125",N Santaroza St 5598 5500
"24.845463,36.090173 24.846357,36.090144",Reto Way
"24.833763,36.09282 24.832896,36.093682 24.832514,36.093942 24.832316,36.094293 24.831994,36.094468 24.831476,36.09456 24.830957,36.094598 24.830499,36.094697 24.82998,36.094918",N Rosyn Dr 5300 5308
"24.831339,36.091355 24.830958,36.091523",N Sachtouri Ln
"24.833781,36.091111 24.833353,36.091271 24.833094,36.091447 24.832896,36.091615 24.832438,36.091622 24.832117,36.091661 24.831858,36.091615 24.831599,36.091523 24.831339,36.091355",Pherlau Ln 6700 6798
"24.831919,36.090692 24.831599,36.090829 24.831477,36.090959 24.8314,36.091096 24.8314,36.09118 24.831339,36.091355",Pherlau Ln
"24.833781,36.091111 24.833763,36.09282",N Obil St 5000 5098
"24.835163,36.09282 24.833763,36.09282",N Distomou St 6600 6798
"24.833872,36.090524 24.833781,36.091111",N Obil St 4942 4998
"24.835063,36.09102 24.835163,36.09282",N Medel St 5010 5220
"24.836463,36.09282 24.835163,36.09282",N Distomou St 6500 6598
"24.833781,36.091111 24.834339,36.091057",N Diogenous St
"24.834339,36.091057 24.835063,36.09102",N Diogenous St
"24.836363,36.09102 24.835063,36.09102",N Diogenous St 6500 6598
"24.835063,36.08922 24.835063,36.09102",N Medel St 4900 5008
"24.836363,36.09102 24.836463,36.09282",N Kakavaki St 5002 5304
"24.836349,36.08984 24.836363,36.09102",N Kakavaki St 4900 5000
"24.832316,36.08999 24.831995,36.090241 24.831919,36.090333 24.831919,36.09047 24.831919,36.090547 24.831919,36.090692",Pherlau Ln
"24.833872,36.090524 24.833414,36.090478 24.833033,36.090554 24.832575,36.090737 24.832316,36.090737 24.832179,36.090692 24.831919,36.090692",N Pergamou Ln 6700 6798
"24.833872,36.089471 24.833872,36.090524",N Obil St 4900 4940
"24.834363,36.08922 24.833872,36.089471",N Desafio St 6614 6798
"24.835063,36.08922 24.834363,36.08922",N Desafio St 6500 6612
"24.835163,36.08892 24.835063,36.08922",N Medel St 4850 4898
"24.834363,36.08812 24.834363,36.08882",N Medel St 4824 4848
"24.834363,36.08782 24.834363,36.08812",N Medel St 4800 4822
"24.835963,36.08812 24.834363,36.08812",N Joya Rd 6400 6598
"24.834963,36.08772 24.834363,36.08782",N Derwen St 6600 6650
"24.835163,36.08892 24.834363,36.08882",N Kiou St 6550 6598
"24.835763,36.08872 24.835163,36.08892",N Kiou St 6500 6548
