Ahaggo Museum: [24.878609001212357, 36.076336363402596]
Abila Scrapyard: [24.845542808840396, 36.07482880502866]
Bean There Done That: [24.851160741361618, 36.08202851740735]
Albert’s Fine Clothing: [24.8575535592196, 36.07572876960479]
Coffee Shack: [24.860653108762026, 36.07482880502866]
Frank’s Fuels: [24.839673410707118, 36.07429596750259]
Maximum Iron and Steel: [24.83934370975554, 36.06362925455475]
Kronos Mart: [24.849029802075624, 36.066729130189]
Roberts and Sons: [24.852226213053466, 36.063229268418546]
General Grocer: [24.85815299537921, 36.061033388864644]
Carly’s Coffee: [24.859200195426226, 36.05702951715003]
Jack’s Magic Beans: [24.872179558110712, 36.06812907320506]
Hallowed Grounds: [24.885740085309983, 36.06382924762285]
Chostus Hotel: [24.894166989213943, 36.069029037781185]
Frydo’s Autosupply n’ More: [24.905784862349986, 36.05909501371146]
Brew’ve Been Served: [24.90311668589449, 36.056646536939326]
Katerina’s Cafe: [24.898966191007137, 36.0560344166887]
Guy’s Gyros: [24.898867370871066, 36.05889097221781]
Abila Zacharo: [NA, NA]
Ouzeri Elian: [24.87287736775708, 36.05287180103429]
Daily Dealz: [NA, NA]
Kronos Pipe and Irrigation: [NA, NA]
Gelatogalore: [24.862204666032792, 36.06052329147602]
Stewart and Sons Fabrication: [NA, NA]
Coffee Cameleon: [24.891067439671517, 36.05562957413398]
Nationwide Refinery: [24.88621824593687, 36.05654451407734]
Carlyle Chemical Inc.: [24.88285832033348, 36.0599111712254]
Brewed Awakenings: [24.902484050168514, 36.0557678340004]
Hippokampos: [24.87082350621033, 36.051929723525745]
U-Pump: [24.86859570548892, 36.068729050294195]
Shoppers' Delight: [24.905657104255678, 36.06027649827016]
Octavio's Office Supplies: [24.85794100496125, 36.058529456700136]
GAStech: [24.881375997803925, 36.048178888983664]
Abila Hospital: [24.877991211453914, 36.05672953177821]
Desafio Golf Course: [24.858715892346858, 36.09252809584445]
Cup o’ Joe: [24.87963784766054, 36.050629777043746]
Abila Airport: [NA, NA]
Kalami Kafenion: [24.85103199981928, 36.06348252133789]
